------------------------ Sentence Scores --------------------------
====================== HTK Results Analysis =======================
  Date: Mon Sep 22 21:08:01 2014
  Ref : >sh/Documents/ThesisData/ASR/ClassifierTraining/Configs/EvalPhones.mlf
  Rec : >Documents/ThesisData/ASR/ClassifierTraining/Configs/EvalMFCPhones.mlf
-------------------------- File Results ---------------------------
10poo_010ph-3dB.rec:   33.33( -9.45)  [H= 187, D= 51, S=323, I=240, N=561]
10poo_010ph-6dB.rec:   34.05(-16.40)  [H= 191, D= 73, S=297, I=283, N=561]
10poo_010ph00dB.rec:   33.16( -5.88)  [H= 186, D= 51, S=324, I=219, N=561]
10poo_010ph03dB.rec:   34.76( -4.99)  [H= 195, D= 54, S=312, I=223, N=561]
10poo_010ph06dB.rec:   39.04(  6.24)  [H= 219, D= 61, S=281, I=184, N=561]
10poo_050ph-3dB.rec:   32.62( -7.31)  [H= 183, D= 49, S=329, I=224, N=561]
10poo_050ph-6dB.rec:   33.51(-10.52)  [H= 188, D= 63, S=310, I=247, N=561]
10poo_050ph00dB.rec:   32.26( -4.99)  [H= 181, D= 52, S=328, I=209, N=561]
10poo_050ph03dB.rec:   34.76( -2.50)  [H= 195, D= 57, S=309, I=209, N=561]
10poo_050ph06dB.rec:   38.86(  4.99)  [H= 218, D= 65, S=278, I=190, N=561]
10pos_001ph-3dB.rec:   31.73( -2.85)  [H= 178, D= 57, S=326, I=194, N=561]
10pos_001ph-6dB.rec:   27.45( -5.88)  [H= 154, D= 51, S=356, I=187, N=561]
10pos_001ph00dB.rec:   31.37( -5.35)  [H= 176, D= 71, S=314, I=206, N=561]
10pos_001ph03dB.rec:   33.33( -1.96)  [H= 187, D= 69, S=305, I=198, N=561]
10pos_001ph06dB.rec:   35.47(  2.32)  [H= 199, D= 70, S=292, I=186, N=561]
10pos_005ph-3dB.rec:   29.06(  0.18)  [H= 163, D= 71, S=327, I=162, N=561]
10pos_005ph-6dB.rec:   28.16( -2.67)  [H= 158, D= 80, S=323, I=173, N=561]
10pos_005ph00dB.rec:   29.95( -0.89)  [H= 168, D= 69, S=324, I=173, N=561]
10pos_005ph03dB.rec:   32.26( -1.25)  [H= 181, D= 58, S=322, I=188, N=561]
10pos_005ph06dB.rec:   35.29( -3.74)  [H= 198, D= 72, S=291, I=219, N=561]
10pos_010ph-3dB.rec:   33.87( -9.98)  [H= 190, D= 59, S=312, I=246, N=561]
10pos_010ph-6dB.rec:   33.16( -9.45)  [H= 186, D= 56, S=319, I=239, N=561]
10pos_010ph00dB.rec:   30.48( -4.10)  [H= 171, D= 44, S=346, I=194, N=561]
10pos_010ph03dB.rec:   34.94( -2.14)  [H= 196, D= 68, S=297, I=208, N=561]
10pos_010ph06dB.rec:   39.04(  2.85)  [H= 219, D= 66, S=276, I=203, N=561]
10pos_050ph-3dB.rec:   33.87( -9.98)  [H= 190, D= 61, S=310, I=246, N=561]
10pos_050ph-6dB.rec:   33.16( -9.45)  [H= 186, D= 57, S=318, I=239, N=561]
10pos_050ph00dB.rec:   30.48( -4.10)  [H= 171, D= 43, S=347, I=194, N=561]
10pos_050ph03dB.rec:   34.76( -2.14)  [H= 195, D= 65, S=301, I=207, N=561]
10pos_050ph06dB.rec:   39.39(  2.14)  [H= 221, D= 68, S=272, I=209, N=561]
10test_clean.rec:   66.67( 57.04)  [H= 374, D= 45, S=142, I= 54, N=561]
10test_dirty-3dB.rec:   34.05(-10.52)  [H= 191, D= 61, S=309, I=250, N=561]
10test_dirty-6dB.rec:   33.16( -9.45)  [H= 186, D= 57, S=318, I=239, N=561]
10test_dirty0dB.rec:   31.02( -4.99)  [H= 174, D= 50, S=337, I=202, N=561]
10test_dirty3dB.rec:   34.76( -1.96)  [H= 195, D= 65, S=301, I=206, N=561]
10test_dirty6dB.rec:   39.04(  2.85)  [H= 219, D= 66, S=276, I=203, N=561]
10umo_003ut-3dB.rec:   33.51(-18.54)  [H= 188, D= 49, S=324, I=292, N=561]
10umo_003ut-6dB.rec:   33.33(-22.64)  [H= 187, D= 42, S=332, I=314, N=561]
10umo_003ut00dB.rec:   34.58(-10.87)  [H= 194, D= 55, S=312, I=255, N=561]
10umo_003ut03dB.rec:   38.68( -9.80)  [H= 217, D= 59, S=285, I=272, N=561]
10umo_003ut06dB.rec:   42.96(  0.89)  [H= 241, D= 52, S=268, I=236, N=561]
10umo_005ut00dB.rec:   33.87(-13.73)  [H= 190, D= 49, S=322, I=267, N=561]
10ums_003ut-3dB.rec:   30.66( -8.20)  [H= 172, D= 61, S=328, I=218, N=561]
10ums_003ut-6dB.rec:   29.41( -8.02)  [H= 165, D= 62, S=334, I=210, N=561]
10ums_003ut00dB.rec:   31.55( -3.03)  [H= 177, D= 58, S=326, I=194, N=561]
10ums_003ut03dB.rec:   34.22(  0.71)  [H= 192, D= 64, S=305, I=188, N=561]
10ums_003ut06dB.rec:   36.36(  2.32)  [H= 204, D= 69, S=288, I=191, N=561]
10ums_005ut00dB.rec:   33.33( -4.81)  [H= 187, D= 71, S=303, I=214, N=561]
3test_clean.rec:   63.69( 55.51)  [H= 335, D= 53, S=138, I= 43, N=526]
3test_dirty-3dB.rec:   48.29(  5.89)  [H= 254, D= 44, S=228, I=223, N=526]
3test_dirty-6dB.rec:   47.53(  4.18)  [H= 250, D= 46, S=230, I=228, N=526]
3test_dirty0dB.rec:   50.19(  5.32)  [H= 264, D= 51, S=211, I=236, N=526]
